InstitutionName	City	State	HighestDegree	Type	Region	ReligAffil	Urbanization	Urban	Tuition	SatAvg	MeanEarnings10Years	NumUndergrads	PctMale	PctFemale	MedHHInc	PctLowIncome	PctFedLoan	AttendanceCost	AvgFacSal	CompletionRate	NumGradStudents	ExpenditurePerStudent	AdmitRate	MedianDebt	TuitionCat	SatAvgCat	MeanEarnings10YearsCat	NumUndergradsCat	PctMaleCat	PctFemaleCat	MedHHIncCat	PctLowIncomeCat	PctFedLoanCat	AttendanceCostCat	AvgFacSalCat	CompletionRateCat	NumGradStudentsCat	ExpenditurePerStudentCat	AdmitRateCat	MedianDebtCat
University of Utah	Salt Lake City	UT	Graduate	Public	West	No	MidCity	City	12004	1236	63500	23396	53.3	46.7	69474.52	39.28987194	29.67	20422	10727	0.695	8280	15447	0.6686	17500	2.Medium	3.High	3.High	3.High	3.High	1.Low	3.High	3.High	1.Low	1.Low	3.High	3.High	3.High	3.High	2.Medium	1.Low
University of Vermont	Burlington	VT	Graduate	Public	Northeast	No	SmallCity	City	24913	1289	55200	10612	41.25	58.75	74257.05	15.98042039	53.09	32825	10205	0.7633	2067	16087	0.6756	21504	3.High	3.High	3.High	3.High	2.Medium	2.Medium	3.High	1.Low	1.Low	2.Medium	3.High	3.High	3.High	3.High	2.Medium	1.Low
University of Virginia-Main Campus	Charlottesville	VA	Graduate	Public	Southeast	No	Suburb.SmallCity	Suburb	21371	1427	79400	16405	45.28	54.72	79524.13	22.66233766	28.67	32213	14278	0.9431	7862	18768	0.2643	17756	3.High	3.High	3.High	3.High	2.Medium	2.Medium	3.High	1.Low	1.Low	2.Medium	3.High	3.High	3.High	3.High	1.Low	1.Low
University of Washington-Bothell Campus	Bothell	WA	Graduate	Public	West	No	Suburb.LgCity	Suburb	3266	1139	69600	5363	51.91	48.09	69752.4	39.30775423	27.17	22125	10851	0.6227	569	4963	0.7935	15000	1.Low	2.Medium	3.High	3.High	3.High	1.Low	3.High	3.High	1.Low	1.Low	3.High	2.Medium	2.Medium	1.Low	3.High	1.Low
University of Washington-Seattle Campus	Seattle	WA	Graduate	Public	West	No	LargeCity	City	17912	1347	69600	30905	46.65	53.35	69752.4	39.30775423	25.46	25275	13086	0.8416	15301	27214	0.4869	15000	3.High	3.High	3.High	3.High	2.Medium	2.Medium	3.High	3.High	1.Low	1.Low	3.High	3.High	3.High	3.High	1.Low	1.Low
University of Washington-Tacoma Campus	Tacoma	WA	Graduate	Public	West	No	MidCity	City	3776	1078	69600	4530	48.96	51.04	69752.4	39.30775423	30.86	21570	10141	0.5815	800	5737	0.8556	15000	1.Low	1.Low	3.High	2.Medium	3.High	1.Low	3.High	3.High	1.Low	1.Low	3.High	2.Medium	2.Medium	1.Low	3.High	1.Low
University of West Alabama	Livingston	AL	Graduate	Public	Southeast	No	Rural.Remote	Rural	7929	1059	40400	2152	41.73	58.27	40238.44	54.56896552	72.67	20692	6461	0.3123	3046	7046	0.3966	26663	1.Low	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	3.High	1.Low	1.Low	1.Low	3.High	1.Low	1.Low	3.High
University of West Georgia	Carrollton	GA	Graduate	Public	Southeast	No	Town.Fringe	Town	6794	1021	41700	10448	36.82	63.18	66454.08	40.69508646	63.97	22518	6431	0.4225	2598	7471	0.5819	25000	1.Low	1.Low	1.Low	3.High	1.Low	3.High	2.Medium	3.High	2.Medium	1.Low	1.Low	1.Low	3.High	1.Low	1.Low	2.Medium
University of Wisconsin-Eau Claire	Eau Claire	WI	Graduate	Public	Midwest	No	SmallCity	City	7144	1170	50300	10485	38.13	61.87	64551.11	16.66666667	56.64	19581	7667	0.6678	716	6439	0.7796	21617	1.Low	2.Medium	2.Medium	3.High	1.Low	3.High	2.Medium	1.Low	2.Medium	1.Low	2.Medium	3.High	2.Medium	1.Low	3.High	1.Low
University of Wisconsin-Green Bay	Green Bay	WI	Graduate	Public	Midwest	No	MidCity	City	5170	1120	44500	6576	36.89	63.11	63413.11	29.9771167	60.34	18408	6661	0.5224	377	5427	0.7858	20300	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	2.Medium	2.Medium	2.Medium	1.Low	1.Low	2.Medium	2.Medium	1.Low	3.High	1.Low
